번호,입력일,"쉬움: 1
어려움: 2",내가 모은 영어 문장,한글 뜻,메모,,,,,,,,,,,,,,,,
1,260102,1,cartera,briefcase,bag,,,,,,,,,,,,,,,,
2,260102,2,en mi cartera,in my wallet,in my bag,,,,,,,,,,,,,,,,
3,260102,1,chaqueta,jacket,jacket,,,,,,,,,,,,,,,,
4,260102,1,corre,runs,he runs,,,,,,,,,,,,,,,,
5,260102,1,buscar ,look for ,look for,,,,,,,,,,,,,,,,
6,260102,1,vikram corre a buscar su taxi,Vikram runs to find his taxi,vikram run to look for his taxi,,,,,,,,,,,,,,,,
7,260102,1,detras de,behind,behind,,,,,,,,,,,,,,,,
8,260102,1,mano,hand,hand,,,,,,,,,,,,,,,,
9,260102,,la chaqueta roja,the red jacket,red jacket,,,,,,,,,,,,,,,,
10,260102,,tienda en ropa,clothing store,clothing store,,,,,,,,,,,,,,,,
11,260102,,esta tienda es muy cara,This store is very expensive,this store is expensive,,,,,,,,,,,,,,,,
12,260102,,Me encanta este color,I love this color,I love this color,,,,,,,,,,,,,,,,
13,260102,,Quiero comprar esta chaqueta,I want to buy this jacket,I want to buy this jacket,,,,,,,,,,,,,,,,
14,260102,,nueva,new,new,,,,,,,,,,,,,,,,
15,260102,,hoy es mi cumpleanos,Today is my birthday,today is my brithday,,,,,,,,,,,,,,,,
16,260102,,regalo perfecto,perfect gift,perfect gift,,,,,,,,,,,,,,,,
17,260102,,no lo se,I don't know,I don't know,,,,,,,,,,,,,,,,
18,260102,,pregunta,ask,"ask, question",,,,,,,,,,,,,,,,
19,260102,,azul,blue,blue,,,,,,,,,,,,,,,,
20,260102,,verde,green,green,,,,,,,,,,,,,,,,
21,260102,,la ropa,the clothes,the clothes,,,,,,,,,,,,,,,,
22,260102,,la tienda,the store,the store,,,,,,,,,,,,,,,,
23,260102,,la camisa,the shirt,the shirt,,,,,,,,,,,,,,,,
24,260102,,perro,dog,dog,,,,,,,,,,,,,,,,
25,260102,,gato,cat,cat,,,,,,,,,,,,,,,,
26,260102,,hija,daughter,daugher,,,,,,,,,,,,,,,,
27,260102,,hijo,son,son,,,,,,,,,,,,,,,,
28,260102,,gris,grey,gray,,,,,,,,,,,,,,,,
29,260102,,la camiseta,the t-shirt,the t-shirt,,,,,,,,,,,,,,,,
30,260102,,el sombrero,the hat,the hat,,,,,,,,,,,,,,,,
31,260102,,marron,brown,brown,,,,,,,,,,,,,,,,
32,260102,,el vestido,the dress,the dress,,,,,,,,,,,,,,,,
33,260102,,este ,this ,this ,,,,,,,,,,,,,,,,
34,260102,,boleto,ticket,ticket,,,,,,,,,,,,,,,,
35,260102,,carro,car,car,,,,,,,,,,,,,,,,
36,260102,,pescado,fish,fish,,,,,,,,,,,,,,,,
37,260102,,sin,without,without,,,,,,,,,,,,,,,,
38,260102,,personas,people,people,,,,,,,,,,,,,,,,
39,260102,,Quiero ,Wanna ,I like or I love,,,,,,,,,,,,,,,,
40,260102,,abuelo,grandfather,grand father,,,,,,,,,,,,,,,,
41,260102,,abuela,grandmother,grand mother,,,,,,,,,,,,,,,,
42,260102,,mesa,table,table,,,,,,,,,,,,,,,,
43,260102,,dinero,money,money,,,,,,,,,,,,,,,,
44,260102,,hermano,brother,brother,,,,,,,,,,,,,,,,
45,260102,,disculpe,excuse me,excuse me,,,,,,,,,,,,,,,,
46,260102,,encantado/a,delighted,nice to meet you,,,,,,,,,,,,,,,,
47,260102,,rojo,red,red ,,,,,,,,,,,,,,,,
48,260102,,el abrigo,the coat,the coat,,,,,,,,,,,,,,,,
49,260102,,la falda,the skirt,the skirt,,,,,,,,,,,,,,,,
50,260102,,Ese sombrero,That hat,that hat,,,,,,,,,,,,,,,,
51,260102,,un vestido caro,an expensive dress,an expensive coat,,,,,,,,,,,,,,,,
52,260102,,un vestido barato,a cheap dress,an cheap coat,,,,,,,,,,,,,,,,
53,260102,,el regalo,the gift,the gift,,,,,,,,,,,,,,,,
54,260102,,la cartera,the portfolio,the purse,,,,,,,,,,,,,,,,
55,260102,,el cinturon,the belt,the belt,,,,,,,,,,,,,,,,
56,260102,,el reloj,the clock,the watch,,,,,,,,,,,,,,,,
57,260102,,demasiado,too much,too,,,,,,,,,,,,,,,,
58,260102,,una falda comoda,a comfortable skirt,a comfortable skirt,,,,,,,,,,,,,,,,
59,260102,,una falda diferente,a different skirt,a different skirt,,,,,,,,,,,,,,,,
60,260102,,una mujer elegante habla con el,an elegant woman speaks with the,a elegant woman talk to him,,,,,,,,,,,,,,,,
61,260102,,pantalones muy caros,very expensive pants,very expensive pants,,,,,,,,,,,,,,,,
62,260102,,ahora,now,now,,,,,,,,,,,,,,,,
63,260102,,ayda,help,help,,,,,,,,,,,,,,,,
64,260102,,enfermo,sick,sick,,,,,,,,,,,,,,,,
65,260102,,quisiera leche para mi cafe,I would like milk for my coffee.,I'd like to have milk for my coffee,,,,,,,,,,,,,,,,
66,260102,,quisiera la cuenta por favor,"I would like the bill, please.","I'd like to have bill , please",,,,,,,,,,,,,,,,
67,260102,,un regalo un mi hija,a gift for my daughter,a gift for my daughter,,,,,,,,,,,,,,,,
68,260102,,el maestro,the teacher,the teacher,,,,,,,,,,,,,,,,
69,260102,,el libro,the book,the book,,,,,,,,,,,,,,,,
70,260102,,la escuela,the school,the school,,,,,,,,,,,,,,,,
71,260102,,el boligrafo,the pen,the pen,,,,,,,,,,,,,,,,
72,260102,,un examen  es muy facil,An exam is very easy.,an exam is very easy,,,,,,,,,,,,,,,,
73,260102,,la computadora,the computer,the computer,,,,,,,,,,,,,,,,
74,260102,,la medicina,medicine,the medicine,,,,,,,,,,,,,,,,
75,260102,,un profesor,a teacher,a professor,,,,,,,,,,,,,,,,
76,260102,,mi universidad,my university,my university,,,,,,,,,,,,,,,,
77,260102,,un problema deficil,a difficult problem,a difficult problem,,,,,,,,,,,,,,,,
78,260102,,boligrafo,pen,pen,,,,,,,,,,,,,,,,
79,260102,,escuela,school,school,,,,,,,,,,,,,,,,
80,260102,,estudiante,student,student,,,,,,,,,,,,,,,,
81,260102,,yo no comprehendo espanol,I don't understand Spanish.,I don't understand spanish,,,,,,,,,,,,,,,,
82,260102,,No entiendo la pregunta,I don't understand the question,I don't understand the question,,,,,,,,,,,,,,,,
83,260102,,yo leo un libro en espanol,I read a book in Spanish,I read a book in spanish,,,,,,,,,,,,,,,,
84,260102,,yo comprehendo,I understand,I understand,,,,,,,,,,,,,,,,
85,260102,,yo tengo un problema,I have a problem,I have a problem,,,,,,,,,,,,,,,,
86,260102,,yo quiero escribir,I want to write,I want to write,,,,,,,,,,,,,,,,
87,260102,,yo quiero estudiar,I want to study,I want to study,,,,,,,,,,,,,,,,
88,260102,,una pregunta dificil,a difficult question,a difficult question,,,,,,,,,,,,,,,,
89,260102,,yo quiero leer,I want to read,I want to read,,,,,,,,,,,,,,,,
90,260102,,lunes,Monday,monday,,,,,,,,,,,,,,,,
91,260102,,martes,Tuesday,tuesday,,,,,,,,,,,,,,,,
92,260102,,miercoles,Wednesday,wednesday,,,,,,,,,,,,,,,,
93,260102,,jueves,Thursday,thursday,,,,,,,,,,,,,,,,
94,260102,,viernes,Friday,friday,,,,,,,,,,,,,,,,
95,260102,,sabado,Saturday,saturday,,,,,,,,,,,,,,,,
96,260102,,domingo,Sunday,sunday,,,,,,,,,,,,,,,,
97,260102,,feliz fin de semana,Happy weekend!,happy weekend,,,,,,,,,,,,,,,,
98,260102,,pelicular,movie,movie,,,,,,,,,,,,,,,,
99,260102,,gato ,cat ,cat,,,,,,,,,,,,,,,,
100,260102,,semana,week,week,,,,,,,,,,,,,,,,
101,260102,,divertido,fun,fun,,,,,,,,,,,,,,,,
102,260102,,cuando,when,when,,,,,,,,,,,,,,,,
103,260102,,fiesta,party,party,,,,,,,,,,,,,,,,
104,260102,,disfruta,enjoy,enjoy,,,,,,,,,,,,,,,,
105,260102,,compleanos,birthdays,birthday,,,,,,,,,,,,,,,,
106,260102,,Zari le da un regalo a Lily,Zari gives Lily a gift,자리(Zari)가 릴리(Lily)에게 선물을 준다,,,,,,,,,,,,,,,,
107,260102,,dar,give,주다( doy/das/da),,,,,,,,,,,,,,,,
108,260102,,me/te/le/nos/os/les,me/te/le/nos/os/les,간접목적대명사,,,,,,,,,,,,,,,,
109,260102,,Mi madre me da un regalo,My mother gives me a gift,우리 엄마가 나에게 선물을 준다.,,,,,,,,,,,,,,,,
110,260102,,Que es,What is,그게 뭐야,,,,,,,,,,,,,,,,
